PACE_NUMBER,PACE_NAME,STATUS,PROGRAM,SUB_PROGRAM,FORECAST_YEAR,SOURCE_JOB_NUMBER,RAN_REGION,MARKET,SUBMARKET,LATITUDE,LONGITUDE,PRODUCT_GROUP,PRODUCT_SUBGROUP,NATIONAL_PROGRAM,USID,FA_LOCATION_CODE,CURRENT_NEED_BY_DATE,ONAIR_PLAN,ONAIR_FORECAST,ONAIR_ACTUAL,ROW_NUM
MRNTX042633,TOWN EAST MALL DAS (Carrier Add),Active,IB ALL,IB-LTE Next Carrier,2020,CR_-RNTX-18-06491,CENTRAL,NORTH TEXAS,DALLAS FT. WORTH,32.808,-96.6241939,LTE Next Carrier,iDAS,IB-LTE Next Carrier,55529,10015577,09-30-2019,null,06-30-2020,null,214
MRCHI026057,TRIBUNE TOWER DAS ISE(P3) -  LTE),Active,IB ALL,IB-LTE Overlay,2020,CR_-RCHI-17-02468,CENTRAL,ILLINOIS/WISCONSIN,CHICAGO,41.8906667,-87.6238333,LTE Overlay,iDAS,IB-LTE Overlay,53560,10029296,12-31-2019,null,12-31-2020,null,13
MRIND034427,FIAT CHRYSLER CTC ISE DAS MOD,Active,IB ALL,IB-DAS Modification,2020,NER-RIND-18-05966,CENTRAL,MICHIGAN/INDIANA,DETROIT,42.654444,-83.22833,DAS Modification,Other MOD,IB-DAS Modification,40481,10036491,12-31-2019,null,12-18-2020,null,110
MRNTX038471,American Airlines Center IB Densification,Active,IB ALL,IB-DAS Modification,2020,CR_-RNTX-18-03004,CENTRAL,NORTH TEXAS,DALLAS FT. WORTH,32.7915561,-96.80925,DAS Modification,Capacity MOD,IB-DAS Modification,82359,10042514,12-31-2020,null,06-30-2020,null,206
MRNTX036870,DFW Airport (DAS MOD),Active,IB ALL,IB-DAS Modification,2020,CR_-RNTX-17-14292,CENTRAL,NORTH TEXAS,DALLAS FT. WORTH,32.8973889,-97.0345281,DAS Modification,Other MOD,IB-DAS Modification,55954,10042525,06-28-2019,null,06-30-2020,null,196
MRSTX031161,Texas State Capitol Austin- RFP,Active,IB ALL,IB-DAS Modification,2020,CR_-RSTX-16-04236,CENTRAL,SOUTH TEXAS,AUSTIN,30.27467,-97.74033,DAS Modification,Other MOD,IB-DAS Modification,62766,10064776,12-31-2019,null,08-02-2020,null,276
MRNTX037816,TI South Campus Inbuilding (Carrier Add),Active,IB ALL,IB-LTE Next Carrier,2020,CR_-RNTX-18-00021,CENTRAL,NORTH TEXAS,DALLAS FT. WORTH,32.9111,-96.7525,LTE Next Carrier,iDAS,IB-LTE Next Carrier,88105,10065755,12-31-2018,null,06-30-2020,null,205
MRKSL028373,West County Mall (Carrier Add),Active,IB ALL,IB-LTE Next Carrier,2020,CR_-RKSL-18-04092,CENTRAL,GREATER MIDWEST,ST. LOUIS,38.6001944,-90.4467778,LTE Next Carrier,iDAS,IB-LTE Next Carrier,56804,10065823,11-29-2019,null,12-18-2020,null,162
MRCHI025339,PRITZGER HYATT DAS ISE(P3) -  LTE),Active,IB ALL,IB-LTE Overlay,2020,CR_-RCHI-17-01846,CENTRAL,ILLINOIS/WISCONSIN,CHICAGO,41.881288,-87.636673,LTE Overlay,iDAS,IB-LTE Overlay,88822,10066296,12-31-2018,null,12-31-2020,null,12
MRCHI025268,TELLABS NAPERVILLE DAS ISE(P3) -  LTE),Active,IB ALL,IB-LTE Overlay,2020,CR_-RCHI-17-01844,CENTRAL,ILLINOIS/WISCONSIN,CHICAGO,41.802917,-88.19173,LTE Overlay,iDAS,IB-LTE Overlay,35014,10074788,12-31-2018,null,12-31-2020,null,8
MRSTX048577,ABIA  Austin International Airport (Carrier Add),Active,IB ALL,IB-LTE Next Carrier,2020,CR_-RSTX-18-14426,CENTRAL,SOUTH TEXAS,AUSTIN,30.2052778,-97.6666667,LTE Next Carrier,iDAS,IB-LTE Next Carrier,7871,10078310,06-28-2019,null,01-04-2020,null,325
MRNTX042635,ALCATEL-IN BUILDING DAS ISE (Carrier Add),Active,IB ALL,IB-LTE Next Carrier,2020,CR_-RNTX-18-06493,CENTRAL,NORTH TEXAS,DALLAS FT. WORTH,33.008992,-96.759447,LTE Next Carrier,iDAS,IB-LTE Next Carrier,64092,10092201,11-29-2019,null,06-30-2020,null,215
MRNTX029099,BAYLOR REG MEDICAL CENTER DAS ISE(P3) -  LTE),Active,IB ALL,IB-LTE Overlay,2020,CR_-RNTX-17-04184,CENTRAL,NORTH TEXAS,DALLAS FT. WORTH,33.0148,-96.7907,LTE Overlay,iDAS,IB-LTE Overlay,64091,10098386,12-31-2018,null,06-30-2020,null,188
MRCHI022651,BANK OF AMERICA DAS ISE (P2) - LTE),Active,IB ALL,IB-LTE Overlay,2020,CR_-RCHI-16-01542,CENTRAL,ILLINOIS/WISCONSIN,CHICAGO,41.882261,-87.641849,LTE Overlay,iDAS,IB-LTE Overlay,79514,10106523,12-31-2018,null,12-31-2020,null,4
MRNTX029761,MARY KAY INBUILDING DAS ISE(P3) -  LTE) (ERICSSON HET-NET),Active,IB ALL,IB-LTE Overlay,2020,CR_-RNTX-17-07627,CENTRAL,NORTH TEXAS,DALLAS FT. WORTH,32.9710278,-96.8218889,LTE Overlay,iDAS,IB-LTE Overlay,51194,10106748,12-31-2018,null,06-30-2020,null,191
MRSTX041725,Shell Westhollow (Carrier Add),Active,IB ALL,IB-LTE Next Carrier,2020,CR_-RSTX-18-04313,CENTRAL,SOUTH TEXAS,HOUSTON,29.72629,-95.64373,LTE Next Carrier,iDAS,IB-LTE Next Carrier,48413,10108160,01-31-2019,null,08-18-2020,null,305
MRUMW019808,WEST GROUP WOS DAS ISE(P3) -  LTE),Active,IB ALL,IB-LTE Overlay,2020,CR_-RUMW-17-02561,CENTRAL,NORTHERN PLAINS,MINNESOTA,44.824677,-93.112517,LTE Overlay,iDAS,IB-LTE Overlay,47157,10108458,12-31-2018,null,01-31-2020,null,332
MRSTX041729,TOYOTA PLANT SAN ANTONIO DAS ISE (Carrier Add),Active,IB ALL,IB-LTE Next Carrier,2020,CR_-RSTX-18-04332,CENTRAL,SOUTH TEXAS,SAN ANTONIO,29.2367778,-98.5454722,LTE Next Carrier,iDAS,IB-LTE Next Carrier,105101,10109843,10-31-2018,null,08-22-2020,null,309
MRSTX041715,IAH International Airport Terminal A Expansion - DAS MOD,Active,IB ALL,IB-DAS Modification,2020,CR_-RSTX-18-04323,CENTRAL,SOUTH TEXAS,HOUSTON,29.989,-95.345,DAS Modification,Other MOD,IB-DAS Modification,85712,10110525,12-31-2019,null,10-13-2020,null,300
MROAR025675,WALMART DAVID GLASS TECHNOLOGY CENTER (Carrier Add),Active,IB ALL,IB-LTE Next Carrier,2020,CR_-ROAR-18-02889,CENTRAL,ARKANSAS/OKLAHOMA,ARKANSAS,36.3663461,-94.2191331,LTE Next Carrier,iDAS,IB-LTE Next Carrier,86019,10112758,06-28-2019,null,06-05-2020,null,254
MRNTX029775,PIER ONE HG DAS ISE (P3) -  LTE) (ERICSSON HET-NET),Active,IB ALL,IB-LTE Overlay,2020,CR_-RNTX-17-09251,CENTRAL,NORTH TEXAS,DALLAS FT. WORTH,32.7523333,-97.34175,LTE Overlay,iDAS,IB-LTE Overlay,48118,10113352,12-31-2019,null,06-30-2020,null,194
MRNTX042632,ATMOS ENERGY DAS ISE (Carrier Add),Active,IB ALL,IB-LTE Next Carrier,2020,CR_-RNTX-18-06494,CENTRAL,NORTH TEXAS,DALLAS FT. WORTH,32.9223333,-96.81775,LTE Next Carrier,iDAS,IB-LTE Next Carrier,84635,10114033,06-28-2019,null,06-30-2020,null,213
MRCHI036447,Midway Airport (Carrier Add),Active,IB ALL,IB-LTE Next Carrier,2020,CR_-RCHI-18-03145,CENTRAL,ILLINOIS/WISCONSIN,CHICAGO,41.7896667,-87.7421667,LTE Next Carrier,iDAS,IB-LTE Next Carrier,88617,10116892,11-29-2019,null,12-31-2020,null,61
MRNTX029093,HARRIS METHODIST DAS ISE(P3) -  LTE),Active,IB ALL,IB-LTE Overlay,2020,CR_-RNTX-17-04181,CENTRAL,NORTH TEXAS,DALLAS FT. WORTH,32.7384719,-97.3391111,LTE Overlay,iDAS,IB-LTE Overlay,87915,10116894,12-31-2018,null,06-30-2020,null,187
MRIND033550,IU Health Hospital (Carrier Add),Active,IB ALL,IB-LTE Next Carrier,2020,NER-RIND-18-04349,CENTRAL,MICHIGAN/INDIANA,INDIANAPOLIS,39.775678,-86.176797,LTE Next Carrier,iDAS,IB-LTE Next Carrier,88397,10117156,04-30-2019,null,01-15-2020,null,102
MRSTX048571,LONG CREEK (Carrier Add),Active,IB ALL,IB-LTE Next Carrier,2020,CR_-RSTX-18-14430,CENTRAL,SOUTH TEXAS,SAN ANTONIO,29.666903,-98.400892,LTE Next Carrier,iDAS,IB-LTE Next Carrier,109731,10117227,06-28-2019,null,01-06-2020,null,321
MRNTX024193,ASG ISE LTE OVERLAY POD CITIGROUP,Active,IB ALL,IB-LTE Overlay,2020,CR_-RNTX-16-04477,CENTRAL,NORTH TEXAS,DALLAS FT. WORTH,32.8985,-96.9550831,LTE Overlay,Venue,IB-LTE Overlay,88384,10117393,12-31-2018,null,06-30-2020,null,182
MRSTX031156,CHEVRON DAS ISE(P3) -  LTE),Active,IB ALL,IB-LTE Overlay,2020,CR_-RSTX-17-04745,CENTRAL,SOUTH TEXAS,HOUSTON,29.7545889,-95.3720611,LTE Overlay,iDAS,IB-LTE Overlay,88510,10117499,12-31-2019,null,05-26-2020,null,275
MRNTX046921,SOUTHWEST AIRLINES DAS ISE (Carrier Add),Active,IB ALL,IB-LTE Next Carrier,2020,CR_-RNTX-18-13363,CENTRAL,NORTH TEXAS,DALLAS FT. WORTH,32.8453611,-96.8646111,LTE Next Carrier,iDAS,IB-LTE Next Carrier,88608,10117610,11-29-2019,null,06-30-2020,null,240
MRCHI025233,CLASSIFIED VENTURES DAS ISE(P2) -  LTE),Active,IB ALL,IB-LTE Overlay,2020,CR_-RCHI-17-01819,CENTRAL,ILLINOIS/WISCONSIN,CHICAGO,41.8780556,-87.6330556,LTE Overlay,iDAS,IB-LTE Overlay,93731,10117674,12-31-2018,null,12-31-2020,null,10
MRKSL030431,STL GALLERIA INBUILDING APPLE DAS Expansion - DAS MOD,Active,IB ALL,IB-DAS Modification,2020,CR_-RKSL-18-08900,CENTRAL,GREATER MIDWEST,ST. LOUIS,38.6355,-90.348,DAS Modification,Other MOD,IB-DAS Modification,88889,10118242,01-31-2019,null,11-24-2020,null,171
